City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,88.0,28,69,8.84,broken clouds
252,Fort Nelson,CA,58.8053,-122.7002,37.89,83,96,4.23,overcast clouds
253,Tabou,CI,4.423,-7.3528,79.7,81,78,10.38,light rain
254,Pochutla,MX,15.7432,-96.4661,82.81,72,100,4.59,overcast clouds
255,Hibbing,US,47.4272,-92.9377,37.58,69,90,8.05,overcast clouds
256,Lingao,CN,19.9103,109.6859,66.54,87,100,11.32,overcast clouds
257,Metro,ID,-5.1131,105.3067,76.77,87,100,4.47,overcast clouds
258,Sinnamary,GF,5.3833,-52.95,81.63,83,95,9.17,overcast clouds
259,Dwarka,IN,22.2394,68.9678,80.33,62,3,13.94,clear sky
260,Leningradskiy,RU,69.3833,178.4167,3.24,88,96,8.14,overcast clouds
261,Alcaniz,ES,41.05,-0.1333,63.75,44,20,7.54,few clouds
262,Mount Gambier,AU,-37.8333,140.7667,51.12,86,98,4.79,overcast clouds
263,Bardiyah,LY,31.7561,25.0865,69.67,59,1,8.08,clear sky
264,Altay,CN,47.8667,88.1167,39.9,62,79,2.77,broken clouds
265,Paamiut,GL,61.994,-49.6678,35.82,74,100,20.51,overcast clouds
266,Adre,TD,13.4667,22.2,86.34,23,99,9.31,overcast clouds
267,Ribeira Grande,PT,38.5167,-28.7,72.0,68,20,4.61,few clouds
268,La Ronge,CA,55.1001,-105.2842,32.22,86,75,6.91,broken clouds
269,Chipinge,ZW,-20.1883,32.6236,75.92,42,68,7.76,broken clouds
270,Tuatapere,NZ,-46.1333,167.6833,47.48,79,99,4.18,overcast clouds
271,Ostrovnoy,RU,68.0531,39.5131,34.95,63,100,23.31,overcast clouds
272,Point Pedro,LK,9.8167,80.2333,82.99,74,61,4.21,broken clouds
273,Kupang,ID,-10.1667,123.5833,79.54,85,48,4.83,scattered clouds
274,Bandiagara,ML,14.3501,-3.6104,96.08,26,65,1.3,broken clouds
275,Caravelas,BR,-17.7125,-39.2481,75.22,84,100,7.34,overcast clouds
276,Martapura,ID,-3.4167,114.85,80.69,94,90,4.61,overcast clouds
277,Doha,QA,25.2867,51.5333,84.18,45,0,11.5,clear sky
278,Esparta,HN,15.7437,-87.1766,86.79,66,98,4.76,overcast clouds
279,Najran,SA,17.4924,44.1277,74.68,23,17,12.1,few clouds
280,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.2,83,84,10.69,broken clouds
281,Muzhi,RU,65.3667,64.6667,27.59,97,87,6.8,overcast clouds
282,General Roca,AR,-39.0333,-67.5833,68.63,24,56,5.06,broken clouds
283,Kiama,AU,-34.6833,150.8667,62.01,89,5,1.99,clear sky
284,Ardahan,TR,41.1087,42.7022,44.94,48,0,1.92,clear sky
285,Maniitsoq,GL,65.4167,-52.9,30.83,50,0,11.41,clear sky
286,Hamilton,US,39.1834,-84.5333,54.0,88,100,1.43,overcast clouds
287,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,85,7.36,light rain
288,Harrison,US,30.4091,-89.0436,82.42,82,40,0.0,scattered clouds
289,Asfi,MA,32.2994,-9.2372,69.82,65,1,21.34,clear sky
290,Kenai,US,60.5544,-151.2583,38.14,94,40,9.22,scattered clouds
291,Elat,IL,29.5581,34.9482,79.27,48,0,10.47,clear sky
292,Rocha,UY,-34.4833,-54.3333,75.16,46,6,2.39,clear sky
293,Auki,SB,-8.7676,160.7034,78.51,84,49,3.69,scattered clouds
294,Avera,US,33.194,-82.5271,75.7,52,67,11.41,broken clouds
295,Norman Wells,CA,65.282,-126.8329,34.88,85,98,10.87,overcast clouds
296,Talnakh,RU,69.4865,88.3972,10.62,97,92,4.7,overcast clouds
297,Vinh,VN,18.6667,105.6667,64.29,77,100,10.0,overcast clouds
298,Otuzco,PE,-7.9,-78.5833,28.72,59,66,7.87,light snow
299,Dzhebariki-Khaya,RU,62.2167,135.8,12.36,98,98,1.39,overcast clouds
300,West Bay,KY,19.3667,-81.4167,89.08,68,20,8.05,few clouds
301,Argir,FO,61.9959,-6.7715,43.77,57,75,6.24,broken clouds
302,Cockburn Town,TC,21.4612,-71.1419,84.16,74,40,9.22,scattered clouds
303,Wajir,KE,1.7471,40.0573,89.98,37,78,15.55,broken clouds
304,Asau,RO,46.4333,26.4,61.72,59,100,4.97,overcast clouds
305,Aleksandrow Kujawski,PL,52.8766,18.6935,46.47,89,98,24.7,overcast clouds
306,Mayo,US,38.8876,-76.5119,69.12,56,1,4.0,clear sky
307,Hirna,ET,9.2167,41.1,67.57,43,100,5.44,overcast clouds
308,Bonavista,CA,48.6499,-53.1147,46.65,64,19,10.42,few clouds
309,Turukhansk,RU,65.8167,87.9833,36.88,97,100,16.58,light rain
310,Ushumun,RU,52.7833,126.5333,33.22,84,53,7.81,broken clouds
311,Baglan,AF,36.1307,68.7083,52.11,67,99,0.43,overcast clouds
312,Vieste,IT,41.8825,16.175,67.57,75,90,6.53,overcast clouds
313,Alice Springs,AU,-23.7,133.8833,81.95,18,40,10.36,scattered clouds
314,Lichinga,MZ,-13.3128,35.2406,71.82,51,67,1.97,broken clouds
315,Artyom,AZ,40.4723,50.333,62.74,71,45,22.95,scattered clouds
316,Dingle,PH,10.9995,122.6711,74.71,95,100,4.36,overcast clouds
317,Severo-Kurilsk,RU,50.6789,156.125,37.13,75,45,10.67,scattered clouds
318,Port Hawkesbury,CA,45.6169,-61.3485,66.58,89,90,5.99,overcast clouds
319,Laguna,US,38.421,-121.4238,60.22,95,90,3.0,moderate rain
320,Bergen,NO,60.392,5.328,46.83,79,75,24.16,broken clouds
321,Oranjestad,AW,12.524,-70.027,89.55,62,40,18.41,scattered clouds
322,Rancho Palos Verdes,US,33.7445,-118.387,64.11,95,90,3.0,mist
323,Ponca City,US,36.707,-97.0856,69.62,52,1,9.22,clear sky
324,Camara De Lobos,PT,32.6333,-16.9667,74.12,84,40,3.0,scattered clouds
325,Saint-Pierre,RE,-21.3393,55.4781,76.68,81,75,13.8,broken clouds
326,Parchim,DE,53.4263,11.8488,46.6,78,93,17.25,overcast clouds
327,Knyaze-Volkonskoye,RU,48.4642,135.4567,37.74,78,2,8.23,clear sky
328,Bismarck,US,46.8083,-100.7837,46.2,79,90,8.05,overcast clouds
329,Thompson,CA,55.7435,-97.8558,32.74,76,100,5.32,overcast clouds
330,Shubarshi,KZ,48.5872,57.1869,51.66,49,99,17.67,overcast clouds
331,Salinopolis,BR,-0.6136,-47.3561,87.57,62,65,10.85,broken clouds
332,Sanchursk,RU,56.9413,47.2499,49.98,84,57,16.64,broken clouds
333,Honiara,SB,-9.4333,159.95,76.86,86,60,5.75,broken clouds
334,Iralaya,HN,15.0,-83.2333,84.29,83,100,6.35,overcast clouds
335,Chapais,CA,49.7834,-74.8492,33.58,78,99,10.85,overcast clouds
336,Hualmay,PE,-11.0964,-77.6139,68.18,71,39,11.16,scattered clouds
